"filename", "language", "C++", "comment", "blank", "total"
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\CLLScreenEvent.cpp", "C++", 14, 0, 0, 14
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\LLscreen.cpp", "C++", -2, 0, 0, -2
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\LLscreenEvent.cpp", "C++", 18, 2, 0, 20
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\aboutScreen.cpp", "C++", 40, 2, 5, 47
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayScreenEvent.cpp", "C++", 23, 0, 0, 23
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrow.cpp", "C++", 1, 0, 0, 1
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\constants.cpp", "C++", 9, 0, 1, 10
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\dArrayScreenEvent.cpp", "C++", 14, 0, 0, 14
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\main.cpp", "C++", 19, -2, -1, 16
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\menu.cpp", "C++", 5, 0, 0, 5
"Total", "-", 141, 2, 5, 148
